UniqueCount	AmbigCount
0	52
0	46
0	52
1	36
0	24
0	1
66	69
0	29
0	21
0	25
0	20
0	10
1	34
0	1
0	112
1	112
3	118
3	161
0	155
0	144
0	171
0	71
0	153
0	159
0	47
0	160
2	153
1	155
0	165
0	165
0	62
0	82
0	73
0	158
0	69
0	141
0	154
0	153
0	121
0	116
9	5
0	114
2	110
0	116
0	98
0	104
0	98
0	106
0	11
0	87
1	81
0	53
0	56
0	6
0	3
0	14
2199	22
0	14
0	4
1	24
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	61
0	84
0	85
0	206
0	167
0	243
1	126
0	144
0	164
0	184
0	144
0	118
0	222
0	146
0	1
0	27
0	92
0	160
1	103
0	8
0	46
0	0
0	0
0	0
0	2978
0	2969
0	519
146	1
0	1
0	22
0	5
49	34
1	1
0	9
0	2978
0	2971
0	1271
0	5
0	5
